DISTRITO,CASILLA,,PAN,PRI,PRD-PT,PVEM,CONVERGENCIA,NUEVA ALIANZA,PARTIDO SOCIAL DEMÓCRATO,CANDIDATOS NO REGISTRADOS,NULOS,TOTAL,,
17,1818,B,71,116,46,0,7,3,0,0,9,252,,
17,1818,C1,101,99,39,0,12,4,3,5,0,263,,
17,1819,B,80,64,74,0,16,2,3,13,0,252,,
17,1819,C1,57,63,72,0,22,3,0,11,0,228,,
17,1820,B,94,134,104,0,11,4,1,0,9,357,,
17,1821,B,149,118,74,0,15,3,3,1,15,378,,
17,1822,B,26,52,42,0,20,0,1,0,0,141,,
17,1823,B,75,114,60,0,5,0,3,0,7,264,,
17,1823,C1,86,91,65,0,10,1,2,1,20,276,,
17,1914,B,105,83,36,0,2,4,2,0,3,235,,
17,1914,C1,109,89,44,0,3,0,0,0,4,249,,
17,1915,B,142,130,70,0,9,4,8,0,7,370,,
17,1915,C1,141,127,81,0,3,2,4,0,11,369,,
17,1915,C2,145,121,89,0,6,7,1,0,6,375,,
17,1916,B,108,87,51,0,2,5,2,0,1,256,,
17,1916,C1,100,95,72,0,5,6,0,1,1,280,,
17,1916,C2,89,73,64,0,3,5,1,0,8,243,,
17,1917,B,102,80,50,0,1,3,5,0,3,244,,
17,1917,C1,98,66,40,0,4,0,2,0,3,213,,
17,1918,B,149,127,62,0,2,2,5,0,14,361,,
17,1918,C1,148,134,62,0,3,5,2,0,11,365,,
17,1919,B,123,112,47,0,11,2,4,0,11,310,,
17,1919,C1,127,97,61,0,5,2,3,1,3,299,,
17,1919,C2,112,119,53,0,5,1,1,0,2,293,,
17,1920,B,145,108,108,0,0,9,2,0,9,381,,
17,1920,C1,128,131,100,0,5,4,6,0,8,382,,
17,1921,B,170,140,77,0,5,1,4,0,5,402,,
17,1921,C1,184,137,69,0,3,6,1,0,10,410,,
17,1922,B,156,122,54,0,0,4,3,0,3,342,,
17,1922,C1,136,136,64,0,1,3,3,0,1,344,,
17,1923,B,123,116,80,0,4,6,3,0,6,338,,
