dtto,municipio,secc,PAN_UDC,PRI_PVEM PNA_PPC,PRI_PNA PSD,PRI_PNA PPC,PRI,PRD,PT,PVEM,CONV,PNA,PSDC,PPC,CC1,VALIDOS,NULOS,TOTAL
02,SALTILLO,0997,183,0,0,0,346,10,15,6,3,4,0,1,1,569,17,586
02,SALTILLO,0998,165,0,0,0,603,17,14,17,3,9,0,0,0,828,27,855
02,SALTILLO,0999,104,0,0,0,312,8,9,4,4,7,0,0,2,450,21,471
02,SALTILLO,1003,45,0,0,0,33,1,4,1,0,1,1,0,0,86,2,88
02,SALTILLO,1004,53,0,0,0,156,5,9,2,5,0,0,2,0,232,12,244
02,SALTILLO,1005,81,0,0,0,323,12,4,8,1,0,1,1,1,432,16,448
02,SALTILLO,1006,460,0,0,0,2215,27,27,33,19,11,5,2,4,2803,57,2860
02,SALTILLO,1007,16,0,0,0,212,1,2,3,0,0,0,0,0,234,6,240
02,SALTILLO,1008,64,0,0,0,167,0,6,1,2,0,0,1,0,241,11,252
02,SALTILLO,1009,84,0,0,0,423,6,11,5,3,0,0,1,0,533,15,548
02,SALTILLO,1010,20,0,0,0,192,0,4,2,2,0,0,0,0,220,9,229
02,SALTILLO,1011,181,0,0,0,667,15,15,15,4,0,2,0,6,905,23,928
02,SALTILLO,1012,15,0,0,0,88,0,2,2,1,0,1,0,0,109,7,116
02,SALTILLO,1013,21,0,0,0,135,2,5,0,0,1,0,0,0,164,6,170
02,SALTILLO,1014,118,0,0,0,719,6,11,10,1,0,0,1,0,866,21,887
02,SALTILLO,1015,43,0,0,0,177,2,1,4,0,2,0,0,11,240,0,240
02,SALTILLO,1016,18,0,0,0,171,0,2,0,0,0,0,0,0,191,5,196
02,SALTILLO,1017,4,0,0,0,65,2,0,0,0,0,0,0,0,71,2,73
02,SALTILLO,1018,8,0,0,0,52,0,2,0,2,0,0,0,0,64,3,67
02,SALTILLO,1019,16,0,0,0,153,1,5,0,0,1,0,0,0,176,5,181
02,SALTILLO,1020,18,0,0,0,50,2,3,0,0,0,0,0,0,73,6,79
02,SALTILLO,1021,1,0,0,0,101,0,0,0,0,0,0,0,0,102,6,108
02,SALTILLO,1022,29,0,0,0,95,1,2,1,0,0,0,0,0,128,14,142
02,SALTILLO,1023,18,0,0,0,148,1,1,1,3,1,0,0,2,175,7,182
02,SALTILLO,1024,10,0,0,0,74,0,0,0,0,0,0,0,0,84,1,85
02,SALTILLO,1025,21,0,0,0,165,1,4,0,1,0,0,0,0,192,4,196
02,SALTILLO,1026,57,0,0,0,183,0,8,3,1,1,1,1,0,255,6,261
02,SALTILLO,1027,34,0,0,0,110,0,1,3,0,0,0,0,0,148,1,149
02,SALTILLO,1028,4,0,0,0,85,0,0,1,0,0,0,0,0,90,7,97
02,SALTILLO,1029,35,0,0,0,170,2,1,1,3,0,1,2,0,215,6,221
02,SALTILLO,1030,12,0,0,0,97,0,3,1,0,1,0,0,0,114,4,118
02,SALTILLO,1031,30,0,0,0,259,1,10,0,1,0,0,0,0,301,10,311
02,SALTILLO,1032,17,0,0,0,73,1,0,0,0,0,0,0,0,91,2,93
02,SALTILLO,1033,19,0,0,0,155,2,1,1,1,0,2,9,0,190,10,200
02,SALTILLO,1034,8,0,0,0,99,0,0,0,0,0,0,0,0,107,7,114
02,SALTILLO,1035,17,0,0,0,116,3,2,0,2,0,0,0,0,140,2,142
02,SALTILLO,1036,11,0,0,0,110,1,5,0,0,0,0,0,0,127,7,134
02,SALTILLO,1037,7,0,0,0,40,0,1,0,0,0,0,0,0,48,1,49
02,SALTILLO,1038,18,0,0,0,200,0,2,1,1,0,0,1,0,223,11,234
02,SALTILLO,1039,45,0,0,0,214,3,3,2,0,0,0,1,0,268,8,276
03,SALTILLO,0839,185,0,0,0,275,12,17,5,3,3,1,3,3,507,20,527
03,SALTILLO,0840,144,0,0,0,330,9,6,6,1,3,2,0,2,503,13,516
03,SALTILLO,0851,210,0,0,0,408,25,8,7,5,6,3,0,0,672,29,701
03,SALTILLO,0853,223,0,0,0,804,20,13,18,3,5,0,1,1,1088,37,1125
03,SALTILLO,0854,269,0,0,0,502,33,13,9,1,7,2,0,6,842,27,869
03,SALTILLO,0855,289,0,0,0,376,22,11,2,5,3,3,1,3,715,26,741
03,SALTILLO,0856,236,0,0,0,466,34,15,16,2,3,2,1,6,781,31,812
03,SALTILLO,0857,243,0,0,0,242,10,8,0,4,2,0,1,2,512,13,525
03,SALTILLO,0862,170,0,0,0,322,16,10,9,0,3,1,1,5,537,22,559
03,SALTILLO,0873,185,0,0,0,382,23,8,11,7,0,2,1,0,619,25,644
03,SALTILLO,0874,117,0,0,0,224,8,10,11,7,3,1,0,1,382,9,391
03,SALTILLO,0875,142,0,0,0,220,12,12,7,1,1,2,0,2,399,28,427
03,SALTILLO,0876,181,0,0,0,366,16,15,13,3,2,1,0,6,603,23,626
03,SALTILLO,0877,150,0,0,0,266,13,16,2,2,4,2,1,6,462,18,480
03,SALTILLO,0878,126,0,0,0,130,5,7,3,1,1,1,1,0,275,12,287
03,SALTILLO,0879,144,0,0,0,243,16,7,6,1,1,1,0,2,421,14,435
03,SALTILLO,0880,155,0,0,0,383,14,11,17,4,2,3,0,1,590,23,613
03,SALTILLO,0881,139,0,0,0,195,13,7,8,3,0,0,0,1,366,16,382
03,SALTILLO,0882,164,0,0,0,318,13,13,9,4,2,1,1,3,528,14,542
03,SALTILLO,0883,212,0,0,0,739,24,11,6,7,4,3,0,0,1006,31,1037
03,SALTILLO,0884,171,0,0,0,400,16,7,11,1,5,1,0,4,616,21,637
03,SALTILLO,0885,109,0,0,0,520,10,6,6,1,1,0,0,1,654,16,670
03,SALTILLO,0886,213,0,0,0,594,34,9,8,2,4,2,0,0,866,20,886
03,SALTILLO,0887,153,0,0,0,544,24,11,6,5,1,1,1,1,747,32,779
03,SALTILLO,0888,197,0,0,0,597,26,7,11,7,13,0,0,1,859,28,887
03,SALTILLO,0889,141,0,0,0,485,18,5,5,1,6,0,0,0,661,24,685
03,SALTILLO,0890,154,0,0,0,463,23,11,11,3,3,1,1,0,670,14,684
03,SALTILLO,0891,187,0,0,0,329,12,10,4,4,3,0,0,3,552,21,573
03,SALTILLO,0892,128,0,0,0,253,14,3,3,4,4,0,1,1,411,12,423
03,SALTILLO,0893,194,0,0,0,312,6,14,6,4,1,3,2,1,543,23,566
03,SALTILLO,0894,105,0,0,0,293,7,9,6,2,1,1,0,3,427,12,439
03,SALTILLO,0895,126,0,0,0,485,10,5,9,3,3,4,1,10,656,17,673
03,SALTILLO,0896,169,0,0,0,375,15,13,7,2,6,4,0,3,594,13,607
03,SALTILLO,0897,235,0,0,0,443,17,10,13,6,10,0,2,6,742,35,777
03,SALTILLO,0898,233,0,0,0,293,18,12,6,0,2,4,2,3,573,23,596
03,SALTILLO,0899,208,0,0,0,329,20,7,9,7,2,2,0,4,588,17,605
03,SALTILLO,0900,99,0,0,0,214,6,6,6,2,1,0,0,2,336,8,344
03,SALTILLO,0912,221,0,0,0,426,24,21,18,6,9,0,1,1,727,25,752
03,SALTILLO,0913,115,0,0,0,396,15,12,14,1,2,1,6,5,567,32,599
03,SALTILLO,0914,227,0,0,0,428,10,13,12,6,4,4,0,2,706,34,740
03,SALTILLO,0915,141,0,0,0,398,5,10,4,3,4,2,1,0,568,21,589
03,SALTILLO,0916,101,0,0,0,346,11,5,4,3,3,1,0,0,474,7,481
03,SALTILLO,0917,117,0,0,0,331,11,4,7,2,6,1,2,1,482,14,496
03,SALTILLO,0918,116,0,0,0,334,13,8,13,2,4,0,0,0,490,19,509
03,SALTILLO,0919,233,0,0,0,384,20,11,13,5,9,2,0,2,679,22,701
03,SALTILLO,0920,158,0,0,0,340,23,10,5,4,4,2,0,2,548,21,569
03,SALTILLO,0921,159,0,0,0,472,15,6,7,2,1,1,1,0,664,24,688
03,SALTILLO,0922,164,0,0,0,578,18,13,14,5,7,1,1,0,801,16,817
03,SALTILLO,0923,108,0,0,0,663,13,7,10,2,5,5,1,1,815,26,841
03,SALTILLO,0924,139,0,0,0,334,4,8,8,1,0,1,2,0,497,15,512
03,SALTILLO,0925,139,0,0,0,407,14,6,8,2,6,2,0,0,584,26,610
03,SALTILLO,0926,113,0,0,0,479,12,10,4,1,2,1,4,2,628,26,654
03,SALTILLO,0927,117,0,0,0,461,10,10,6,2,0,2,2,0,610,20,630
03,SALTILLO,0928,127,0,0,0,431,6,7,2,1,0,0,0,0,574,25,599
03,SALTILLO,0929,142,0,0,0,689,28,13,13,5,3,2,1,2,898,22,920
03,SALTILLO,0930,192,0,0,0,901,29,14,20,4,4,4,0,3,1171,51,1222
03,SALTILLO,0931,122,0,0,0,452,13,10,7,4,1,1,3,3,616,30,646
03,SALTILLO,0932,169,0,0,0,642,17,11,7,3,2,0,0,0,851,32,883
03,SALTILLO,0933,132,0,0,0,420,14,8,7,1,6,1,0,0,589,16,605
03,SALTILLO,0934,147,0,0,0,460,6,10,6,0,2,3,1,0,635,19,654
03,SALTILLO,0935,122,0,0,0,420,15,12,7,2,2,3,1,0,584,25,609
03,SALTILLO,0936,272,0,0,0,749,23,18,16,7,5,3,2,2,1097,38,1135
03,SALTILLO,0937,233,0,0,0,553,21,20,10,1,1,2,0,0,841,27,868
03,SALTILLO,0939,146,0,0,0,383,13,7,8,1,4,0,0,1,563,24,587
03,SALTILLO,0940,135,0,0,0,489,14,8,0,1,0,0,0,0,647,21,668
03,SALTILLO,0959,131,0,0,0,505,11,6,10,2,3,0,0,0,668,19,687
03,SALTILLO,0960,128,0,0,0,422,11,7,7,1,6,0,1,2,585,15,600
03,SALTILLO,0961,183,0,0,0,742,27,13,20,2,3,2,0,1,993,23,1016
03,SALTILLO,0962,127,0,0,0,326,12,4,13,2,2,0,0,0,486,17,503
03,SALTILLO,0963,143,0,0,0,552,8,27,15,6,4,1,1,3,760,19,779
03,SALTILLO,0964,131,0,0,0,470,16,10,12,4,4,0,2,6,655,20,675
03,SALTILLO,0965,162,0,0,0,597,15,10,18,3,5,1,1,1,813,23,836
03,SALTILLO,0966,238,0,0,0,565,19,16,8,2,3,1,1,2,855,40,895
03,SALTILLO,0967,192,0,0,0,808,14,13,9,1,1,0,1,2,1041,35,1076
03,SALTILLO,0968,125,0,0,0,490,14,9,9,0,2,1,0,1,651,28,679
03,SALTILLO,0969,229,0,0,0,1177,24,16,14,5,3,0,1,11,1480,33,1513
03,SALTILLO,0970,675,0,0,0,2545,61,27,43,14,14,4,0,5,3388,137,3525
03,SALTILLO,0971,277,0,0,0,603,23,23,17,11,5,1,0,3,963,22,985
03,SALTILLO,0972,257,0,0,0,781,23,24,14,8,8,0,1,4,1120,25,1145
