disn,seccion,casilla,pan,pri,prd,pt,prs,mc,nr,nul,
1,725,C1,207,161,15,44,1,4,0,13,
1,726,B,213,247,12,24,4,6,1,17,
1,728,B,141,130,10,15,3,5,0,3,
1,728,C1,169,132,9,19,4,10,0,5,
1,735,B,164,156,20,21,2,15,0,12,
1,736,B,196,210,0,35,8,13,0,28,
1,736,C1,145,208,22,38,7,9,0,18,
1,736,C2,161,227,15,32,4,9,0,11,
1,738,B,131,197,35,22,5,5,0,21,
1,738,C1,145,0,26,22,1,7,2,18,
1,747,B,101,149,13,19,1,5,2,14,
1,747,C1,113,119,21,24,2,5,0,10,
1,748,B,108,119,16,16,5,3,0,11,
1,748,C1,93,134,19,15,2,2,0,11,
1,750,B,150,135,8,38,2,2,0,11,
1,923,B,155,146,17,48,4,20,1,6,
1,924,B,128,142,11,24,4,19,0,5,
1,925,B,187,108,11,22,4,17,0,7,
1,926,B,196,192,16,33,3,16,0,0,
1,927,B,153,153,6,14,3,13,0,18,
1,928,B,103,89,10,19,3,8,0,13,
1,929,B,209,196,15,67,6,19,0,19,
1,930,B,195,194,18,31,5,13,1,21,
1,931,B,212,204,23,35,4,17,0,17,
1,932,B,147,101,8,27,8,8,0,9,
1,932,C1,151,113,3,27,0,14,0,8,
1,933,B,158,151,7,47,3,9,0,10,
1,934,B,211,165,13,37,1,9,0,12,
1,935,B,182,179,16,23,5,11,0,18,
1,936,B,191,134,10,29,7,12,0,10,
1,937,B,185,128,9,26,2,5,0,9,
1,938,B,100,89,8,24,3,6,0,4,
1,939,B,134,126,9,23,2,9,0,0,
1,939,C1,149,132,13,33,3,5,0,3,
1,940,B,209,173,18,59,8,16,0,18,
1,941,B,171,190,13,50,9,14,1,21,
1,942,B,140,97,10,23,5,6,0,7,
1,942,C1,130,103,15,21,3,9,0,7,
1,943,B,113,132,34,17,4,0,0,20,
1,944,B,110,167,24,18,0,11,0,11,
2,612,B,196,217,86,30,6,17,0,22,
2,612,C1,198,196,77,30,9,17,3,15,
2,613,B,187,162,67,34,5,19,0,17,
2,613,C1,156,168,68,38,10,11,1,17,
2,614,B,179,186,58,26,7,14,0,17,
2,615,B,185,219,61,19,6,10,0,0,
2,616,B,104,117,60,19,2,5,0,25,
2,616,C1,124,117,59,15,4,9,0,22,
2,617,B,124,134,54,12,3,16,0,10,
2,617,C1,104,133,60,13,8,24,0,16,
2,618,B,99,124,47,18,7,4,0,16,
2,619,B,153,168,60,22,6,5,1,32,
2,620,B,150,168,49,37,5,9,1,31,
2,621,B,101,100,20,8,6,4,0,13,
2,621,C1,86,100,28,26,7,9,0,21,
2,644,B,191,137,79,24,11,10,0,27,
2,645,B,206,172,59,44,9,13,1,18,
2,646,B,114,115,47,26,6,11,1,13,
2,646,C1,88,90,39,24,4,8,3,15,
2,647,B,109,93,39,16,8,7,0,15,
2,648,B,168,154,43,13,6,11,0,12,
2,649,B,134,124,37,21,12,7,2,13,
2,650,B,0,123,189,13,5,5,0,11,
2,677,B,168,154,83,34,10,8,0,12,
2,678,B,194,166,71,54,10,9,0,26,
2,678,C1,203,158,55,53,14,7,0,17,
2,679,B,124,164,41,108,6,12,0,32,
2,679,C1,110,149,46,117,3,5,0,38,
2,694,B,103,164,19,81,4,3,0,32,
2,694,C1,92,165,28,91,1,6,0,30,
2,712,B,79,110,21,75,4,3,0,6,
2,712,C1,92,109,14,74,4,4,0,16,
2,768,B,15,57,11,1,0,0,0,0,
2,769,B,17,67,13,1,0,2,0,0,
2,769,E1,38,151,17,4,2,1,0,6,
2,769,E2,46,143,13,3,0,0,0,14,
2,772,B,42,153,42,6,0,1,0,21,
2,772,E1,15,59,31,15,0,0,0,0,
2,774,B,86,202,43,5,0,1,0,26,
2,774,C1,94,178,49,5,3,3,0,23,
2,778,B,86,129,67,5,1,1,0,25,
2,779,B,126,190,69,31,3,4,0,24,
2,780,B,139,229,106,17,6,6,0,50,
2,780,C1,130,222,97,21,0,5,0,37,
2,781,B,155,201,106,23,1,3,0,47,
2,782,B,83,106,59,16,1,3,0,28,
2,782,C1,67,95,50,18,1,6,0,28,
2,783,B,130,228,95,47,3,3,0,38,
2,784,B,33,55,12,4,0,2,0,0,
2,784,E1,17,149,1,2,1,0,0,7,
2,785,B,72,166,47,7,4,2,0,29,
2,785,C1,80,168,47,4,5,4,0,41,
2,786,B,56,108,43,10,3,11,0,7,
2,787,B,72,83,29,11,0,4,0,18,
2,788,B,177,296,61,13,6,3,40,0,
2,789,B,94,127,50,12,2,7,0,28,
2,789,C1,105,118,50,13,1,2,0,23,
2,796,B,164,273,46,34,5,10,0,0,
2,798,B,86,292,45,7,2,3,0,10,
2,799,B,104,186,47,18,3,12,0,16,
2,799,C1,135,154,44,14,2,7,0,12,
2,799,C2,124,173,52,21,3,6,0,0,
2,799,C3,134,171,48,16,4,10,0,17,
2,799,C4,126,149,52,18,5,4,0,0,
2,879,B,151,193,74,18,4,7,1,22,
2,880,B,146,143,57,19,4,1,29,0,
2,881,B,108,117,77,22,5,8,0,0,
2,882,B,91,183,35,30,4,11,0,0,
2,883,B,134,146,59,66,8,5,0,18,
2,884,B,95,105,48,34,6,2,0,0,
2,885,B,117,142,40,32,2,4,1,13,
2,886,B,127,116,27,44,9,8,0,10,
2,887,B,64,118,35,46,2,4,1,11,
2,888,B,131,196,44,51,8,6,0,12,
2,889,B,62,66,27,12,1,3,0,7,
2,890,B,127,178,48,61,4,7,0,14,
2,891,B,111,97,52,36,3,7,0,9,
2,892,B,142,119,68,30,4,11,0,27,
2,893,B,52,84,29,11,0,4,0,0,
2,894,B,165,215,69,28,3,6,0,53,
2,895,B,123,123,51,29,4,8,3,16,
2,896,B,159,158,79,43,7,8,0,11,
2,897,B,118,108,44,28,3,4,0,0,
2,898,B,84,121,30,16,3,5,0,0,
2,899,B,122,135,37,24,2,33,3,14,
2,900,B,97,119,30,22,3,10,0,5,
2,901,B,84,85,33,36,4,4,0,10,
2,902,B,131,101,38,13,8,11,0,15,
2,903,B,111,144,40,26,0,10,0,19,
2,904,B,146,176,63,27,4,21,2,11,
2,905,B,79,113,42,29,0,10,0,14,
2,905,C1,94,112,38,24,6,5,0,10,
2,906,B,128,173,41,25,8,7,0,19,
2,907,B,81,89,22,23,9,3,0,17,
2,908,B,136,146,44,26,3,4,0,21,
2,909,B,110,83,26,50,8,2,0,7,
2,910,B,141,144,72,58,4,4,0,37,
3,411,B,14,161,146,74,1,0,0,30,
3,411,C1,19,152,131,104,0,1,0,40,
3,411,E1,3,26,18,15,0,1,0,9,
3,412,B,17,249,199,127,0,9,0,51,
3,412,C1,29,209,198,147,3,7,0,0,
3,413,B,2,91,14,40,1,1,0,14,
3,414,B,4,97,64,64,3,3,0,20,
3,414,E1,6,113,31,48,1,3,0,8,
3,415,B,10,214,78,121,0,2,0,14,
3,416,B,10,146,179,27,3,1,0,0,
3,416,C1,11,154,168,13,4,2,0,0,
3,417,B,4,36,11,50,1,2,0,0,
3,417,E1,1,24,4,78,0,0,0,1,
3,418,B,3,119,13,105,1,2,0,0,
3,419,B,5,179,37,122,3,0,0,26,
3,420,B,2,108,44,38,25,2,0,26,
3,421,B,17,219,87,106,31,10,0,35,
3,421,C1,17,249,94,72,30,9,1,47,
3,422,B,5,183,107,39,13,5,0,20,
3,422,E1,0,27,5,40,1,1,0,1,
3,423,B,2,150,81,33,5,1,0,17,
3,423,E1,1,42,13,72,3,0,0,0,
3,424,B,3,62,79,10,1,0,0,12,
3,424,E1,3,58,11,33,0,0,0,6,
3,425,B,7,144,69,88,13,10,0,19,
3,426,B,3,54,21,56,5,0,0,8,
3,427,B,0,249,88,258,0,0,0,0,
3,428,B,4,33,14,38,0,3,0,0,
3,429,B,0,294,70,109,6,2,0,27,
3,430,B,20,249,35,27,1,2,0,28,
3,431,B,16,244,20,35,1,3,0,27,
3,432,B,6,65,14,6,0,3,0,3,
3,433,B,0,225,150,43,3,1,0,53,
3,433,C1,13,247,153,34,2,4,0,0,
3,434,B,2,49,14,3,0,1,0,3,
3,610,B,169,223,49,9,5,18,0,14,
3,610,C1,183,200,55,28,4,16,0,23,
3,727,B,176,131,62,16,2,10,2,18,
3,729,B,145,152,39,21,1,11,0,22,
3,734,B,142,192,63,19,6,14,0,18,
3,739,B,143,161,60,13,4,11,0,15,
3,739,C1,142,149,78,11,2,11,0,18,
3,740,B,88,131,32,7,2,3,0,12,
3,740,C1,106,86,34,16,3,4,0,12,
3,741,B,188,148,59,20,0,18,0,17,
3,745,B,135,111,41,19,0,10,0,22,
3,745,C1,133,108,54,20,5,3,0,0,
3,746,B,152,117,57,15,2,14,0,23,
3,746,C1,127,135,57,9,0,9,0,11,
3,749,B,175,181,50,12,1,6,0,21,
3,749,C1,177,167,65,16,3,13,0,18,
3,749,C2,171,186,64,20,5,10,1,16,
3,751,B,201,185,66,13,2,5,0,21,
3,752,B,130,121,44,25,2,6,0,18,
3,752,C1,128,130,36,17,1,9,0,22,
3,753,B,144,131,50,26,6,11,0,6,
3,753,C1,146,130,50,36,5,14,0,21,
3,755,B,101,104,23,10,2,12,0,7,
3,755,C1,107,103,35,5,1,9,0,11,
3,756,B,129,110,25,10,5,9,2,9,
3,756,C1,112,104,30,12,7,7,0,9,
3,757,B,207,194,71,12,5,6,0,16,
3,759,B,145,118,45,16,3,12,0,15,
3,759,C1,117,132,52,6,0,14,0,18,
3,760,B,180,149,63,13,4,18,0,17,
3,760,C1,166,130,75,22,8,4,0,19,
3,760,C2,168,159,60,13,3,15,0,13,
3,761,B,147,180,49,20,6,15,0,19,
3,762,B,136,141,39,19,0,6,1,14,
3,762,C1,127,149,38,13,2,7,0,0,
3,763,B,135,160,82,11,6,8,0,21,
3,763,C1,143,156,50,20,2,14,0,26,
3,764,B,137,169,75,13,0,9,0,20,
3,764,C1,151,142,60,16,4,8,0,17,
3,764,C2,152,156,39,14,1,16,0,13,
3,764,C3,167,129,45,16,2,9,0,31,
3,764,C4,144,153,58,17,6,9,0,20,
3,765,B,166,154,66,15,2,8,0,25,
3,765,C1,184,173,47,15,1,13,0,0,
3,765,C2,0,159,59,24,4,16,10,161,
3,766,B,119,116,44,10,4,12,0,23,
3,766,C1,135,120,39,18,4,9,0,13,
3,767,B,155,134,31,15,4,17,0,13,
3,797,B,159,300,41,17,6,6,0,36,
3,804,B,134,182,27,9,3,4,0,17,
3,804,C1,128,162,21,11,3,3,0,16,
3,804,C2,104,191,22,15,3,6,0,13,
3,804,C3,114,164,28,12,2,5,0,13,
3,805,B,109,140,18,11,6,1,15,0,
3,805,C1,108,161,20,8,1,5,0,12,
3,807,B,102,199,35,7,1,2,8,18,
3,807,C1,104,233,31,6,0,0,0,0,
3,807,C2,111,214,33,10,5,3,0,13,
3,808,B,116,255,20,7,3,12,1,22,
3,809,B,194,160,66,18,3,15,0,22,
3,945,B,83,94,28,9,4,13,0,10,
3,946,B,120,113,43,17,0,13,0,8,
3,947,B,67,86,26,7,4,14,0,6,
3,948,B,107,139,22,21,2,2,0,0,
3,949,B,90,72,26,21,2,4,0,6,
3,950,B,86,85,35,11,1,16,0,7,
3,951,B,75,84,30,11,0,2,0,4,
3,952,B,92,90,26,11,0,3,0,5,
3,953,B,122,123,36,7,0,5,0,6,
3,954,B,103,98,32,17,1,3,0,7,
3,955,B,94,81,19,1,3,7,0,17,
3,956,B,111,86,30,18,2,4,0,6,
3,957,B,116,111,27,14,2,8,0,0,
3,958,B,75,122,60,9,1,6,0,12,
3,959,B,101,108,32,13,1,8,7,7,
3,960,B,92,109,23,10,2,8,0,4,
3,961,B,88,117,21,7,3,4,0,7,
3,962,B,54,85,22,7,2,4,0,4,
3,963,B,104,136,15,9,1,10,0,0,
3,964,B,83,93,17,10,0,4,0,3,
3,965,B,106,136,47,16,5,11,0,19,
3,966,B,76,70,22,4,0,4,0,7,
3,967,B,110,102,35,15,1,7,0,8,
3,968,B,70,74,22,4,1,3,0,12,
3,969,B,101,103,18,3,3,3,0,7,
3,970,B,75,84,15,12,1,2,0,6,
3,971,B,77,69,19,5,2,3,0,7,
