disn,seccion,casilla,pan,pri,prd,pt,prs,mc,nr,nul,
7,248,C1,211,270,0,1,1,1,0,7,
7,249,B,367,352,0,1,1,1,0,13,
7,250,B,193,330,0,0,0,0,0,0,
7,251,B,163,228,0,2,0,0,0,4,
7,252,B,313,416,1,3,0,4,0,13,
7,252,E1,131,118,0,0,0,0,0,2,
7,253,B,166,274,1,8,6,0,0,0,
7,253,C1,144,295,0,7,5,1,0,11,
7,254,B,251,337,1,6,10,0,0,10,
7,255,B,87,204,0,3,9,2,0,4,
7,256,B,172,246,0,7,22,1,0,0,
8,124,B,207,231,5,26,3,12,0,26,
8,125,B,120,163,8,12,3,10,0,16,
8,125,C1,127,146,3,5,0,10,0,0,
8,126,B,135,189,6,21,3,11,0,9,
8,126,C1,171,195,5,6,5,6,0,20,
8,127,B,226,128,0,11,4,17,1,27,
8,128,B,243,205,6,15,5,25,0,16,
8,129,B,135,161,1,11,4,21,0,15,
8,129,C1,151,150,2,10,2,12,0,9,
8,130,B,159,188,1,15,4,23,0,15,
8,131,B,151,194,3,17,1,15,0,15,
8,132,B,133,218,4,15,1,14,1,28,
8,132,C1,125,209,2,29,1,19,0,0,
8,133,B,135,174,5,38,6,18,0,35,
8,133,C1,137,195,4,36,2,18,0,21,
8,134,B,212,265,3,27,6,19,0,42,
8,135,B,223,221,3,26,0,36,0,34,
8,136,B,201,212,5,9,1,30,0,19,
8,137,B,174,147,3,14,0,27,0,17,
8,137,E1,142,146,5,30,4,12,0,33,
8,138,B,149,138,4,9,3,8,1,16,
8,139,B,127,162,10,28,5,5,0,9,
8,140,B,104,191,2,3,0,9,0,9,
8,141,B,146,133,2,14,2,24,0,17,
8,142,B,23,52,1,1,0,1,0,7,
8,143,B,40,84,1,1,0,2,0,4,
8,143,E1,20,58,1,0,0,1,0,0,
8,144,B,172,151,4,8,17,6,0,19,
8,145,B,130,179,2,9,7,1,0,10,
8,145,E1,51,35,1,5,2,1,0,15,
8,146,B,34,80,1,4,1,1,0,0,
8,147,B,131,135,2,5,1,0,0,5,
8,148,B,202,171,0,29,0,5,0,8,
8,149,B,168,148,1,22,3,4,0,9,
8,150,B,125,162,3,22,3,4,0,7,
8,151,B,109,150,2,33,4,6,0,21,
8,151,C1,96,136,4,51,5,3,0,19,
8,152,B,215,177,1,41,5,10,0,16,
8,153,B,30,88,1,2,1,5,0,4,
8,154,B,169,86,1,1,1,3,0,7,
8,155,B,134,127,4,8,1,3,0,0,
8,156,B,68,151,0,4,1,8,0,19,
8,157,B,141,125,0,7,3,20,0,11,
8,157,E1,29,39,0,3,3,3,0,5,
8,158,B,198,204,6,42,27,14,0,24,
8,159,B,112,182,3,30,15,13,0,17,
8,160,B,175,149,1,18,13,5,0,0,
8,161,B,147,94,3,15,9,9,0,16,
8,161,C1,132,108,4,17,10,9,0,12,
8,162,B,104,139,5,10,23,4,0,14,
8,163,B,142,186,3,18,20,10,0,21,
8,164,B,154,165,2,29,19,19,0,11,
8,165,B,134,172,1,14,26,14,0,14,
8,166,B,131,259,3,37,14,10,0,23,
8,167,B,110,125,3,29,22,9,0,10,
8,167,C1,81,129,3,19,18,4,0,0,
8,168,B,161,110,3,25,12,18,0,12,
8,168,C1,161,104,0,29,14,12,0,15,
8,169,B,206,141,0,60,23,20,0,16,
8,170,B,57,33,2,42,2,3,0,12,
8,171,B,91,104,2,4,0,5,0,7,
8,171,C1,121,122,1,6,2,1,0,5,
8,172,B,53,23,0,2,0,0,0,0,
8,173,B,209,230,0,9,4,10,0,13,
8,174,B,15,65,1,2,0,0,0,1,
8,175,B,121,155,0,6,0,4,0,12,
8,176,B,171,181,4,8,2,3,0,9,
8,177,B,121,102,2,22,2,4,0,24,
8,177,C1,116,116,0,37,0,2,1,14,
8,178,B,65,158,2,3,1,9,0,0,
8,179,B,137,131,0,3,5,1,0,13,
8,180,B,134,142,7,26,4,7,0,17,
8,181,B,59,19,0,3,0,0,0,0,
8,181,E1,19,76,1,1,1,1,0,2,
8,191,B,16,53,0,3,0,0,0,0,
8,191,E1,11,27,2,1,1,0,0,2,
8,398,B,218,183,3,24,1,122,0,37,
8,399,B,235,195,1,10,2,90,0,28,
8,400,B,172,218,1,19,1,89,0,15,
8,401,B,267,204,2,10,0,78,0,20,
8,402,B,54,109,0,0,0,1,0,0,
8,403,B,76,109,1,3,1,6,0,1,
8,404,B,54,107,0,2,0,11,0,3,
8,404,E1,34,26,0,3,1,14,0,0,
8,405,B,17,58,0,2,0,5,0,5,
8,406,B,137,113,2,14,0,64,0,34,
8,407,B,73,69,0,4,1,32,0,6,
8,408,B,152,101,0,4,0,84,0,9,
8,409,B,76,83,0,0,0,100,0,6,
8,410,B,103,199,0,4,0,177,0,18,
9,347,C1,37,197,67,36,4,15,143,0,29
9,348,B,51,128,60,54,3,12,109,0,29
9,348,C1,47,147,60,69,4,15,128,0,0
9,349,B,34,189,91,52,6,14,204,4,46
9,350,B,32,111,55,33,2,6,108,0,19
9,350,C1,35,126,38,30,3,4,100,0,0
9,351,B,44,156,61,33,13,9,144,0,0
9,352,B,30,173,58,25,2,7,128,0,24
9,352,C1,31,139,50,38,7,3,112,0,27
9,353,B,54,112,51,10,2,3,80,1,14
9,354,B,6,115,17,11,9,3,41,0,0
9,355,B,5,84,33,4,2,0,46,0,0
9,356,B,43,226,109,8,6,19,104,0,43
9,357,B,37,182,97,27,6,19,49,0,30
9,358,B,9,93,43,2,2,12,56,0,15
9,359,B,18,195,100,15,4,17,60,0,32
9,360,B,18,185,160,8,6,31,42,1,34
9,361,B,33,251,172,13,5,27,34,0,36
9,362,B,5,119,8,11,3,1,45,0,8
9,363,B,3,29,28,1,1,0,9,2,1
9,364,B,3,58,6,0,0,1,23,0,4
9,365,B,22,104,16,4,0,9,104,0,15
9,366,B,57,79,33,8,3,8,119,0,39
9,367,B,100,100,0,9,2,2,162,2,15
9,367,C1,17,139,18,22,3,5,107,0,25
9,368,B,10,113,41,3,4,2,68,0,17
9,369,B,29,169,53,5,5,2,57,0,0
9,370,B,7,112,123,9,5,2,38,0,3
9,371,B,5,51,18,3,1,0,6,0,1
9,372,B,26,46,8,11,3,1,45,0,21
9,373,B,34,106,32,24,1,4,36,0,12
9,374,B,7,50,8,4,0,1,10,0,7
9,375,B,7,71,9,0,0,1,14,0,0
9,376,B,39,160,24,7,0,7,123,0,41
9,376,C1,35,155,26,6,1,4,127,0,30
9,377,B,3,29,7,3,1,1,37,0,0
9,378,B,2,50,1,0,2,0,86,0,6
9,379,B,3,10,0,2,0,0,41,0,4
9,380,B,3,63,7,2,0,0,38,0,9
9,381,B,7,39,26,6,0,0,22,0,9
9,382,B,21,174,22,19,8,6,84,0,34
9,382,C1,36,141,21,23,3,2,65,0,32
9,383,B,58,177,64,27,10,6,121,0,66
9,384,B,23,124,16,3,0,2,65,0,0
9,385,B,30,275,0,12,4,5,149,0,0
9,386,B,19,184,24,15,5,3,114,0,24
9,386,C1,32,182,28,11,2,6,99,0,22
9,387,B,55,280,55,30,3,6,75,0,68
9,388,B,28,247,36,15,1,4,34,0,27
9,389,B,35,248,32,18,2,4,37,0,22
9,390,B,49,330,40,36,4,7,110,0,40
9,391,B,8,97,5,8,2,0,92,0,10
9,392,B,42,199,83,22,2,6,92,2,34
9,393,B,16,133,33,11,4,12,0,52,33
9,394,B,19,45,32,1,0,1,66,0,27
9,395,B,91,256,86,3,4,4,92,0,0
9,397,B,3,13,19,0,0,2,14,0,6
10,435,B,5,184,144,11,1,108,0,0,
10,441,B,0,211,187,11,4,96,0,22,
10,442,B,1,134,104,17,5,56,0,7,
10,442,C1,0,169,109,19,1,52,0,0,
10,443,B,6,189,98,24,3,59,0,0,
10,444,B,0,83,67,13,1,68,0,6,
10,445,B,5,78,50,6,1,37,0,7,
10,446,B,0,133,68,30,0,93,0,8,
10,453,B,0,66,51,28,0,39,0,7,
10,454,B,1,52,41,19,1,35,0,3,
10,455,B,5,97,74,18,2,103,0,11,
10,456,B,2,107,56,12,3,50,0,13,
10,463,B,5,233,101,29,1,62,0,18,
10,467,B,1,54,37,3,5,99,0,18,
10,468,B,5,62,41,10,3,156,0,20,
10,469,B,4,136,49,5,3,89,0,32,
10,475,B,0,125,54,5,2,54,0,0,
10,489,B,0,168,92,5,1,66,0,14,
10,489,E1,0,48,45,4,0,7,0,3,
10,490,B,0,160,82,10,2,80,0,7,
10,492,B,3,92,53,6,0,36,0,12,
10,493,B,4,112,110,83,6,207,0,22,
10,494,B,0,79,48,39,0,116,0,0,
10,495,B,5,108,66,57,2,98,0,0,
10,496,B,6,86,46,5,3,169,0,21,
10,497,B,8,146,204,12,2,145,0,15,
10,498,B,4,133,118,3,1,192,0,17,
10,499,B,0,72,19,5,0,92,0,10,
10,500,B,0,96,52,7,3,65,0,0,
10,501,B,1,105,74,7,1,92,0,13,
10,502,B,2,109,48,1,2,309,0,34,
10,503,B,4,62,67,5,3,88,0,0,
10,503,C1,2,75,60,9,4,76,0,16,
10,504,B,7,126,84,19,4,87,0,15,
10,520,B,0,137,107,5,6,104,0,0,
10,532,B,2,176,51,5,1,67,0,12,
10,532,C1,6,157,53,14,1,58,0,12,
10,534,B,4,95,68,7,2,72,0,5,
10,535,B,4,93,69,7,0,94,0,6,
10,536,B,1,118,56,11,1,74,0,14,
10,537,B,4,102,119,9,2,117,0,21,
10,538,B,0,109,106,15,1,110,0,24,
10,539,B,1,142,132,7,5,107,0,13,
10,540,B,2,195,103,6,3,108,0,23,
10,541,B,7,159,198,5,2,109,0,20,
10,542,B,5,204,169,9,2,62,0,10,
10,542,E1,0,52,50,2,0,16,0,0,
11,436,B,12,151,116,6,1,7,0,13,
11,436,C1,5,150,129,12,0,9,1,5,
11,437,B,8,258,201,15,1,16,1,18,
11,437,C1,8,274,215,10,3,12,0,25,
11,438,B,17,227,212,6,1,7,0,17,
11,439,B,7,134,120,7,0,4,0,8,
11,440,B,6,183,110,8,1,6,0,8,
11,447,B,2,264,144,13,5,5,0,15,
11,448,B,4,226,165,12,2,6,0,14,
11,449,B,2,84,71,7,2,2,0,5,
11,450,B,7,156,165,3,1,8,0,10,
11,451,B,3,143,140,5,3,2,0,0,
11,451,C1,5,146,123,5,5,1,0,9,
11,452,B,5,140,91,4,1,1,0,0,
11,457,B,7,364,353,7,1,5,0,23,
11,458,B,2,432,167,5,1,0,0,0,
11,459,B,7,251,159,3,0,3,0,9,
11,459,C1,4,194,220,0,0,3,0,0,
11,460,B,9,263,265,9,1,9,0,0,
11,460,E1,0,32,57,0,1,1,0,0,
11,460,E2,1,21,26,0,0,0,0,0,
11,461,B,5,191,196,4,0,13,0,25,
11,462,B,7,80,36,1,1,4,0,10,
11,464,B,5,111,167,10,0,4,0,19,
11,465,B,8,196,306,11,3,39,0,0,
11,466,B,13,265,116,9,3,44,0,0,
11,470,B,0,218,228,15,1,2,0,0,
11,471,B,0,165,150,4,3,0,0,9,
11,472,B,1,222,195,7,4,0,0,13,
11,473,B,1,227,143,2,0,0,0,0,
11,474,B,0,259,204,8,4,0,0,0,
11,487,B,6,191,182,11,1,2,0,0,
11,487,E1,3,135,55,3,0,2,0,0,
11,487,E2,2,25,19,3,0,0,0,2,
11,488,B,2,239,215,1,2,1,0,0,
11,491,B,4,198,124,2,1,0,0,10,
11,505,B,5,292,247,8,0,3,0,0,
11,506,B,1,138,81,3,0,1,0,0,
11,507,B,3,262,178,3,2,2,0,3,
11,508,B,1,175,124,5,0,1,0,13,
11,508,C1,1,192,113,10,1,0,0,0,
12,476,B,0,168,60,10,2,1,0,0,
12,477,B,1,127,92,4,0,0,0,0,
12,478,B,0,118,87,7,0,0,0,0,
12,478,E1,0,43,61,1,0,0,0,0,
12,479,B,0,34,29,0,1,0,0,3,
12,480,B,0,59,59,2,0,1,0,0,
12,480,E1,0,74,46,0,0,0,0,0,
12,480,E2,0,30,22,0,0,0,0,0,
12,481,B,0,42,52,0,0,10,0,0,
12,482,B,2,191,357,7,0,3,0,0,
12,483,B,1,161,171,3,0,0,0,11,
12,483,C1,3,132,193,3,0,0,1,9,
12,484,B,2,172,362,3,0,1,0,7,
12,485,B,4,265,124,9,2,6,0,0,
12,486,B,0,137,31,6,3,1,0,4,
12,509,B,2,157,86,5,0,4,0,5,
12,510,B,1,115,102,4,1,1,0,0,
12,511,B,6,188,95,6,2,1,0,6,
12,511,C1,0,176,101,6,0,0,0,13,
12,512,B,7,307,169,11,1,0,0,16,
12,513,B,7,232,102,6,0,0,0,13,
12,514,B,0,91,63,0,0,0,0,0,
12,514,E1,0,36,9,0,0,0,0,0,
12,515,B,4,136,156,1,8,1,0,18,
12,516,B,0,194,157,3,0,1,0,7,
12,517,B,0,135,74,3,2,0,0,8,
12,518,B,0,73,32,2,0,0,1,2,
12,519,B,1,131,99,7,1,4,0,5,
12,521,B,0,115,223,7,0,2,0,0,
12,522,B,0,176,277,8,1,0,0,13,
12,523,B,0,265,323,7,2,3,0,11,
12,524,B,0,111,232,0,1,0,0,9,
12,525,B,0,123,135,0,1,3,0,0,
12,526,B,0,185,364,9,2,0,0,0,
12,527,B,2,171,246,3,0,2,0,0,
12,528,B,0,229,387,5,1,1,0,12,
12,529,B,0,108,188,2,0,0,0,0,
12,530,B,0,146,178,7,1,0,0,7,
12,531,B,0,236,327,7,1,0,0,15,
12,533,B,0,67,19,0,0,0,0,2,
12,543,B,0,165,201,9,1,1,0,0,
12,543,C1,2,153,187,15,2,0,0,10,
12,544,B,0,133,164,5,0,1,0,5,
12,545,B,3,215,342,15,2,2,0,22,
12,546,B,4,172,192,5,2,6,0,10,
12,546,E1,0,74,88,3,0,0,0,0,
13,66,B,164,164,0,8,0,3,0,9,
13,67,B,281,290,2,22,1,3,0,10,
13,68,B,238,274,0,6,0,8,0,5,
13,69,B,140,164,4,6,0,3,0,9,
13,70,B,34,116,1,2,0,0,0,5,
13,71,B,54,82,2,2,0,1,0,2,
13,72,B,35,42,0,0,0,0,0,0,
13,73,B,10,48,0,0,0,3,0,1,
13,74,B,46,165,0,9,0,15,0,4,
13,74,E1,23,39,0,10,0,13,0,2,
13,75,B,124,199,2,0,0,0,0,9,
13,76,B,37,54,0,1,0,0,0,0,
13,77,B,139,136,4,15,0,12,0,10,
13,78,B,132,240,7,24,0,33,0,12,
13,79,B,240,302,2,6,0,14,0,19,
13,80,B,102,215,3,17,2,13,0,20,
13,81,B,46,82,1,17,3,9,0,12,
13,82,B,124,187,2,28,2,2,0,12,
13,83,B,134,256,3,24,3,13,0,27,
13,84,B,19,74,0,0,0,0,0,3,
13,86,B,40,190,0,7,1,0,0,3,
13,87,B,42,28,0,0,0,0,0,0,
13,88,B,114,185,0,1,0,0,0,0,
13,89,B,99,186,1,1,0,0,1,4,
13,215,B,147,212,1,152,3,38,0,12,
13,215,C1,209,209,0,139,3,41,0,19,
13,216,B,254,217,4,149,6,22,0,15,
13,216,C1,228,224,2,136,6,20,0,22,
13,217,B,90,140,0,97,1,8,0,13,
13,217,C1,99,134,1,88,5,8,0,14,
13,218,B,156,189,0,154,4,13,0,15,
13,218,C1,167,211,2,138,4,9,0,12,
13,219,B,82,132,0,113,4,6,1,15,
13,219,C1,78,140,2,100,3,6,0,14,
13,220,B,97,136,4,107,4,4,2,10,
13,220,C1,94,136,1,101,4,9,1,15,
13,221,B,140,175,5,114,0,24,0,17,
13,222,B,177,234,4,100,2,42,0,13,
13,223,B,111,122,0,68,0,53,0,6,
13,223,C1,92,134,3,85,2,45,0,13,
13,224,B,174,194,0,121,1,101,0,0,
13,225,B,114,183,1,120,5,27,0,0,
13,226,B,114,168,1,148,0,38,0,22,
13,227,B,119,134,0,102,3,20,0,13,
13,228,B,103,122,0,106,3,18,0,0,
13,229,B,119,169,3,125,7,14,0,18,
13,230,B,67,129,3,119,3,17,0,9,
13,230,C1,55,150,3,133,2,12,0,9,
13,231,B,82,164,3,238,2,14,0,15,
13,232,B,9,157,0,19,0,0,0,7,
13,232,E1,7,101,2,28,0,0,0,4,
13,232,E2,6,57,1,14,0,0,0,2,
13,233,B,35,152,2,36,2,2,0,19,
13,234,B,60,55,1,36,1,0,0,3,
13,235,B,101,119,0,29,0,1,0,0,
13,236,B,61,153,0,90,1,6,0,12,
13,236,C1,56,172,1,75,0,18,0,20,
13,237,B,19,56,0,41,1,0,0,7,
13,238,B,64,93,2,35,1,1,0,10,
14,90,B,15,148,100,13,2,116,0,0,
14,90,C1,16,138,84,8,4,92,0,19,
14,90,C2,10,165,99,8,1,86,0,0,
14,90,C3,8,159,100,19,3,80,0,16,
14,90,C4,12,167,88,14,0,104,0,0,
14,90,C5,13,157,78,14,3,85,0,11,
14,90,C6,12,173,89,14,1,84,0,17,
14,90,C7,13,143,93,9,2,89,0,12,
14,90,C8,13,194,90,13,7,83,0,13,
14,90,C9,12,141,95,13,3,80,0,16,
14,90,C10,10,152,104,9,4,73,0,11,
14,90,C11,12,152,93,15,1,86,0,11,
14,90,E1,0,3,96,135,8,0,161,0,
14,91,B,11,275,188,6,0,42,0,0,
14,92,B,6,201,154,7,3,74,0,15,
14,93,B,0,78,55,0,1,3,0,4,
14,94,B,0,213,157,5,0,38,0,15,
14,95,B,0,108,111,0,0,7,0,2,
14,95,E1,3,104,115,2,1,10,0,10,
14,96,B,16,232,76,11,4,70,0,0,
14,96,C1,9,224,92,4,3,59,0,17,
14,97,B,0,203,238,2,1,11,0,6,
14,97,C1,6,184,224,3,3,14,0,8,
14,98,B,9,362,65,14,2,166,0,21,
14,98,C1,8,334,58,9,5,180,1,27,
14,98,E1,0,108,104,9,1,72,0,8,
14,98,E2,1,60,107,3,0,87,0,3,
14,99,B,6,149,310,8,2,60,0,13,
14,100,B,6,127,284,6,3,66,0,12,
14,100,C1,5,128,274,7,1,39,0,12,
14,101,B,2,129,248,8,0,49,0,16,
14,101,C1,0,1,126,0,283,6,0,48,
14,102,B,4,139,260,21,2,32,0,13,
14,102,C1,3,125,294,12,1,47,0,8,
14,103,B,1,114,261,4,2,24,0,11,
14,103,C1,9,125,231,5,0,24,0,11,
14,104,B,10,182,327,8,1,52,0,30,
14,104,C1,7,135,374,3,1,44,0,20,
14,105,B,4,262,128,13,3,68,0,30,
14,105,C1,8,275,112,13,1,51,0,11,
14,106,B,4,306,87,15,3,57,0,18,
14,106,C1,0,346,90,6,4,32,0,17,
14,107,B,6,250,72,6,7,69,0,22,
14,107,C1,4,261,55,7,3,69,0,23,
14,107,E1,5,210,146,13,2,27,0,19,
14,108,B,3,290,99,6,4,49,0,16,
14,108,C1,2,305,70,7,0,65,0,17,
14,109,B,7,262,238,6,0,40,0,0,
14,110,B,3,277,309,6,2,36,0,24,
14,110,E1,3,146,175,3,1,42,0,5,
14,111,B,14,181,96,34,5,101,0,27,
14,111,C1,9,184,95,42,4,94,0,0,
14,111,C2,10,185,68,16,3,100,0,16,
14,111,C3,8,187,91,26,7,86,0,25,
14,111,C4,6,157,101,37,8,96,0,0,
14,112,B,11,193,117,41,2,110,0,16,
14,112,C1,13,183,121,24,1,91,0,0,
14,112,C2,8,175,97,29,6,105,0,10,
14,112,C3,13,175,92,26,0,98,0,15,
14,112,C4,9,204,106,38,1,100,0,20,
14,113,B,12,111,66,26,1,45,0,10,
14,113,C1,16,132,53,17,2,44,0,11,
14,114,B,15,230,72,8,2,69,0,8,
14,114,C1,0,225,63,4,1,75,0,27,
14,114,C2,12,227,70,6,4,81,0,12,
14,115,B,3,194,84,12,4,143,1,8,
14,115,C1,0,169,87,6,4,157,0,15,
14,115,C2,0,187,78,12,1,126,0,0,
14,115,C3,9,165,91,16,0,144,0,11,
14,115,C4,5,183,75,8,1,157,0,0,
14,115,C5,3,202,84,9,5,150,0,8,
14,115,C6,6,175,71,7,2,164,0,10,
14,115,C7,8,188,84,9,1,136,0,5,
14,116,B,5,147,55,14,1,133,0,9,
14,116,C1,6,127,62,12,4,143,0,7,
14,116,C2,3,142,63,5,5,145,0,13,
14,116,C3,5,131,57,7,1,128,0,0,
14,116,C4,8,148,74,7,4,128,0,7,
14,116,C5,5,135,59,7,3,105,0,5,
14,117,B,2,183,128,28,4,199,0,16,
14,117,C1,11,170,120,20,4,212,0,13,
14,118,B,0,150,83,20,5,139,0,16,
14,118,C1,11,175,87,12,19,133,0,28,
14,118,C2,8,170,84,18,14,135,0,24,
14,118,C3,11,164,80,14,8,127,0,23,
14,118,C4,5,199,83,11,18,108,0,24,
14,118,C5,8,164,97,11,12,141,0,21,
14,118,C6,9,199,85,14,11,126,0,0,
14,118,C7,6,178,107,11,17,108,0,0,
14,119,B,8,201,57,20,7,166,0,13,
14,119,C1,7,212,56,11,4,186,0,13,
14,119,C2,7,183,56,33,7,159,0,12,
14,120,B,4,149,102,5,0,166,0,22,
14,120,C1,0,163,99,6,5,175,0,20,
14,120,C2,1,162,122,7,6,153,0,19,
14,120,C3,6,171,90,5,5,165,0,0,
14,121,B,4,203,131,12,1,126,0,13,
14,121,C1,2,229,121,11,4,117,0,10,
14,122,B,10,219,95,24,2,81,1,19,
14,122,C1,5,213,84,21,3,118,0,18,
14,123,B,10,131,59,5,2,116,0,0,
14,123,C1,13,160,67,8,1,106,0,12,
14,182,B,12,80,11,3,3,12,0,0,
14,183,B,39,161,21,10,24,55,0,31,
14,184,B,58,108,28,10,16,29,0,17,
14,184,C1,43,92,28,19,13,35,0,22,
14,185,B,33,81,23,12,18,26,0,0,
14,185,C1,41,90,18,16,11,16,0,13,
14,186,B,37,142,30,8,11,41,0,17,
14,187,B,45,131,26,12,17,14,0,31,
14,188,B,77,131,66,12,52,47,0,0,
14,189,B,69,144,57,17,55,60,0,27,
14,190,B,65,125,41,13,36,18,0,0,
14,190,C1,80,101,61,4,50,29,0,0,
14,190,E1,49,125,28,8,124,18,0,25,
14,190,E1C1,60,121,29,13,93,27,0,32,
14,190,E2,40,118,12,12,16,4,0,15,
14,192,B,128,155,32,19,2,8,0,0,
14,192,C1,98,187,18,7,5,23,0,12,
14,193,B,20,69,10,4,3,5,0,4,
14,194,B,84,51,27,9,3,3,0,9,
14,195,B,49,81,44,10,0,7,0,12,
15,810,B,49,149,150,82,2,37,0,38,
15,811,B,28,89,97,122,1,23,0,0,
15,812,B,37,156,178,36,1,78,0,0,
15,813,B,22,104,115,34,3,54,0,15,
15,814,B,18,162,228,21,0,23,0,27,
15,815,B,43,118,219,36,2,42,0,33,
15,816,B,37,198,215,66,1,45,0,45,
15,817,B,0,106,74,18,0,59,0,11,
15,818,B,7,85,70,13,0,31,0,6,
15,819,B,19,121,113,20,1,82,0,10,
15,820,B,21,102,55,11,2,45,0,10,
15,821,B,30,140,82,14,2,50,0,0,
15,822,B,28,204,130,22,1,50,0,36,
15,823,B,59,267,117,48,0,83,0,33,
15,824,B,44,226,130,35,3,97,0,39,
15,825,B,43,182,139,24,2,76,0,20,
15,826,B,20,115,98,9,0,43,0,12,
15,827,B,55,216,181,32,5,105,0,39,
15,828,B,8,73,100,18,0,52,0,18,
15,829,B,17,82,71,11,1,35,0,0,
15,830,B,17,163,105,20,0,54,1,5,
15,831,B,34,172,184,43,2,33,0,0,
15,832,B,0,161,138,32,2,66,0,39,
15,833,B,10,108,153,16,1,36,0,24,
15,834,B,13,127,107,14,0,42,0,0,
15,835,B,49,248,136,17,0,59,0,31,
15,836,B,89,323,170,11,1,29,0,0,
15,837,B,85,263,174,6,1,34,0,45,
15,837,E1,12,44,17,1,0,1,0,0,
15,838,B,52,158,71,9,1,25,0,0,
15,838,C1,48,173,69,7,2,21,0,0,
15,839,B,82,208,127,11,1,36,1,41,
15,840,B,70,185,113,7,3,42,0,39,
15,841,B,0,139,137,20,0,6,0,82,
15,842,B,75,160,216,30,2,8,1,53,
15,843,B,69,173,139,11,0,10,0,34,
16,277,B,124,337,17,89,4,8,0,28,
16,277,E1,53,39,0,4,3,3,0,5,
16,278,B,37,89,5,31,1,4,0,9,
16,278,E1,72,101,4,23,1,1,0,18,
16,279,B,31,76,2,28,2,1,0,1,
16,280,B,54,90,7,34,1,5,0,6,
16,281,B,144,163,15,120,8,9,0,17,
16,282,B,106,189,14,83,2,3,0,19,
16,283,B,166,174,4,22,0,18,0,5,
16,284,B,7,60,2,52,1,2,0,0,
16,285,B,140,70,0,25,20,20,0,21,
16,286,B,112,240,7,41,4,10,0,25,
16,286,E1,2,78,4,41,1,3,0,6,
16,287,B,93,156,21,53,1,11,0,0,
16,288,B,63,231,14,219,5,27,0,23,
16,289,B,71,309,14,120,2,11,0,0,
16,290,B,103,277,6,43,6,14,0,14,
16,291,B,176,369,10,54,2,9,0,27,
16,291,E1,23,32,5,30,0,3,0,18,
16,292,B,78,106,1,4,1,2,0,3,
16,292,E1,23,47,4,11,0,0,0,13,
16,293,B,58,107,2,13,1,4,0,0,
16,294,B,8,69,0,35,0,2,0,7,
16,295,B,223,226,2,20,1,10,0,38,
16,296,B,198,177,0,2,1,1,0,21,
16,297,B,157,169,0,13,0,4,0,14,
16,298,B,99,137,0,80,0,16,0,46,
16,299,B,131,145,8,54,1,10,0,0,
16,300,B,118,159,5,91,6,16,0,21,
16,301,B,145,166,6,40,2,17,0,11,
16,301,C1,126,152,6,48,0,15,0,0,
16,302,B,116,298,5,12,1,109,0,14,
16,303,B,44,198,3,13,1,71,0,0,
16,304,B,68,225,2,43,0,63,0,23,
16,305,B,78,98,0,159,2,6,0,18,
16,306,B,144,177,0,224,4,10,0,41,
16,307,B,146,177,0,19,0,2,0,7,
16,308,B,68,229,5,25,1,19,0,19,
16,309,B,273,148,3,24,2,11,0,17,
16,310,B,183,137,7,24,0,10,0,12,
16,310,C1,187,139,7,28,0,7,0,6,
16,311,B,188,141,3,19,0,12,0,12,
16,311,C1,190,156,4,16,5,5,0,12,
16,311,E1,87,79,0,5,0,9,0,2,
16,312,B,139,202,3,16,1,8,0,22,
16,313,B,188,139,1,10,2,6,2,12,
16,314,B,93,185,5,73,1,8,0,20,
16,315,B,114,181,6,105,2,23,0,11,
16,316,B,18,58,0,1,0,2,0,3,
16,316,E1,26,42,1,16,0,23,0,4,
16,316,E2,19,32,0,3,1,2,0,2,
16,317,B,106,124,0,24,0,4,0,7,
16,318,B,149,122,0,17,0,3,0,7,
16,319,B,53,104,3,8,1,1,0,9,
16,320,B,215,247,8,19,2,2,0,6,
16,320,C1,222,272,3,15,1,2,0,15,
16,321,B,230,338,2,18,4,5,0,13,
16,322,B,328,270,5,9,1,2,0,19,
16,323,B,198,192,2,5,4,2,0,12,
16,323,C1,194,201,4,8,0,1,0,14,
16,324,B,246,251,2,19,3,5,0,15,
16,325,B,135,169,1,5,0,7,0,9,
16,326,B,212,232,1,4,4,2,0,14,
16,327,B,263,242,2,5,6,4,0,0,
16,328,B,285,298,5,19,1,7,0,0,
16,329,B,246,251,5,12,2,7,0,15,
16,330,B,127,158,3,4,0,2,0,6,
16,331,B,252,242,9,14,2,2,0,17,
16,332,B,26,58,0,9,0,0,0,0,
16,333,B,98,224,1,3,1,0,0,9,
16,333,E1,121,216,2,50,0,2,0,26,
16,334,B,66,54,0,6,0,0,0,2,
16,334,E1,12,87,0,4,0,0,0,0,
16,335,B,96,32,0,9,0,1,0,0,
16,336,B,178,88,2,22,0,3,0,8,
16,337,B,175,274,4,6,1,0,0,11,
16,338,B,146,167,1,8,1,1,1,9,
16,339,B,64,54,0,6,0,0,0,1,
16,340,B,116,119,0,4,1,1,0,0,
16,341,B,228,156,2,9,1,1,0,5,
16,342,B,107,112,1,5,2,3,0,3,
16,343,B,247,245,6,38,2,12,0,23,
16,344,B,141,123,2,6,3,2,0,13,
16,345,B,155,94,1,19,1,0,0,8,
16,346,B,70,59,0,0,0,0,0,2,
16,346,E1,65,73,0,5,0,0,1,11,
16,346,E2,54,35,0,1,0,0,0,2,
17,547,B,4,181,186,4,0,0,0,10,
