mun,seccion,casilla,pan,pri,prd,pt,prd,mc,indepValorEresTu,indepAhoraSi,IndepLayin,nr,nul
Acaponeta,31,B ,,185,55,0,0,4,,,,0,5
Acaponeta,32,B ,,219,41,16,2,8,,,,0,8
Acaponeta,33,B ,,185,270,1,3,30,,,,0,15
Acaponeta,34,B ,,72,66,4,1,1,,,,0,3
Acaponeta,34,E1 ,,22,21,1,1,0,,,,0,0
Acaponeta,35,B ,,38,34,1,0,0,,,,0,2
Acaponeta,36,B ,,221,323,6,4,0,,,,0,25
Acaponeta,37,B ,,90,131,2,1,0,,,,0,0
Acaponeta,38,B ,,415,277,2,1,3,,,,0,10
Acaponeta,39,B ,,262,279,2,0,3,,,,0,31
Acaponeta,40,B ,,225,158,2,3,2,,,,0,7
Acaponeta,40,E1 ,,78,54,4,1,0,,,,0,1
Acaponeta,41,B ,,137,103,1,2,2,,,,0,4
Acaponeta,42,B ,,19,37,0,2,1,,,,0,2
Acaponeta,43,B ,,203,216,11,0,6,,,,0,0
Acaponeta,44,B ,,43,59,2,1,1,,,,0,0
Acaponeta,45,B ,,35,107,4,2,0,,,,0,0
Acaponeta,46,B ,,244,199,14,15,1,,,,0,47
Acaponeta,47,B ,,192,195,4,6,7,,,,1,10
Acaponeta,47,E1 ,,30,32,0,1,1,,,,0,0
Acaponeta,48,B ,,72,47,6,1,0,,,,0,6
Ahuacatlán,49,B ,159,155,,64,98,,,,,0,6
Ahuacatlán,50,B ,182,153,,43,131,,,,,0,0
Ahuacatlán,51,B ,169,167,,68,71,,,,,0,10
Ahuacatlán,52,B ,163,137,,29,53,,,,,0,4
Ahuacatlán,52,C1 ,147,134,,35,62,,,,,0,9
Ahuacatlán,53,B ,113,125,,45,45,,,,,0,8
Ahuacatlán,53,C1 ,102,145,,34,59,,,,,0,8
Ahuacatlán,54,B ,136,166,,35,58,,,,,0,18
Ahuacatlán,54,C1 ,133,152,,42,70,,,,,0,4
Ahuacatlán,55,B ,122,74,,7,8,,,,,0,0
Ahuacatlán,56,B ,230,159,,35,36,,,,,1,9
Ahuacatlán,57,B ,186,211,,96,33,,,,,0,17
Ahuacatlán,58,B ,150,123,,15,46,,,,,0,6
Ahuacatlán,59,B ,201,155,,22,56,,,,,0,11
Ahuacatlán,59,C1 ,209,135,,34,56,,,,,0,0
Ahuacatlán,60,B ,186,205,,7,80,,,,,0,0
Ahuacatlán,61,B ,143,166,,80,96,,,,,0,26
Ahuacatlán,61,E1 ,59,22,,15,16,,,,,0,6
Ahuacatlán,62,B ,59,71,,13,21,,,,,0,3
Ahuacatlán,63,B ,60,100,,10,38,,,,,0,5
Ahuacatlán,64,B ,20,78,,47,10,,,,,0,6
Ahuacatlán,65,B ,145,113,,25,15,,,,,0,0
Ahuacatlán,65,E1 ,31,113,,8,9,,,,,0,3
Amatlán de Cañas,66,B ,153,179,,9,,,,,,0,7
Amatlán de Cañas,67,B ,275,310,,17,,,,,,3,4
Amatlán de Cañas,68,B ,229,287,,6,,,,,,0,9
Amatlán de Cañas,69,B ,142,170,,4,,,,,,0,10
Amatlán de Cañas,70,B ,38,113,,3,,,,,,0,4
Amatlán de Cañas,71,B ,43,93,,4,,,,,,1,2
Amatlán de Cañas,72,B ,32,42,,2,,,,,,0,0
Amatlán de Cañas,73,B ,13,48,,0,,,,,,0,1
