sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,512|831|64.53|1,498|14|53.836

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|1|CUERNAVACA NORTE|208|2|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |585| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|208|3|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |584| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|209|1|B|0|1|11|330|282|282|68|39|42|3|10|10|4|23|31|10|13|-|-|-|-|-|-|1|28|282|591| |1| |5a53e0bb040e1605cc6bf515e18b68cc85e988f9b7adb9428671ebb11fd80979|2015-06-08 10:11:00.000|2015-06-08 10:33:37.439|2015-06-08 10:33:40.440|
17|MORELOS|1|CUERNAVACA NORTE|209|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |591| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|209|2|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |591| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|209|1|E|0|1|11|258|262|265|52|29|29|1|9|12|7|23|30|15|17|-|-|-|-|-|-|0|39|263|504| |1| |4ea1ec05bd33d15c70d37b6bf3751f5f0310ce2ad86dce0797f876572f90b342|2015-06-08 10:15:00.000|2015-06-08 10:37:32.340|2015-06-08 10:37:38.840|
17|MORELOS|1|CUERNAVACA NORTE|209|1|E|1|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |504| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|209|1|E|2|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |503| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|210|1|B|0|1|11|340|324|330|80|47|16|2|12|13|11|18|52|11|26|-|-|-|-|-|-|1|41|330|651| |1| |e9d832dac80700cab0d9de23f15ad8650030aa7e2d662b251fdf2b81121fe06b|2015-06-08 06:48:00.000|2015-06-08 06:55:04.801|2015-06-08 06:55:08.260|
17|MORELOS|1|CUERNAVACA NORTE|210|1|C|0|1|11|339|326|331|75|29|27|3|12|20|5|17|67|16|14|-|-|-|-|-|-|5|41|331|650| |1| |b6dad02c6328cbcb5a1cda1365768fa40fb49240268f31105aedd6d3e9f7f505|2015-06-08 06:41:00.000|2015-06-08 06:41:49.694|2015-06-08 06:41:51.955|
17|MORELOS|1|CUERNAVACA NORTE|211|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |548| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|211|1|C|0|1|11|319|246|251|47|38|21|6|12|13|3|33|29|5|13|-|-|-|-|-|-|2|29|251|548| |1| |2222508ce29b88531dcf50af0e4c1ae71ace096112d8dceee0be9a54b5c30810|2015-06-08 15:12:00.000|2015-06-08 15:20:35.189|2015-06-08 15:20:36.176|
17|MORELOS|1|CUERNAVACA NORTE|212|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |507| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|212|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |507| | | | | | | |
