sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,761|563|75.77|1,748|13|53.071

ID_ESTADO|ESTADO|ID_MUNICIPIO|MUNICIPIO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|2|ATLATLAHUCAN|13|2|C|0|1|14|161|437|449|71|13|5|33|22|53|53|96|2|2|75|-|-|-|-|-|15|Sin dato|9|449|588| |1| |eabd074a1d2355a97967595cc65064ae236d94a7e1c9aaf3b2eadea92d488983|2015-06-08 04:58:00.000|2015-06-08 05:45:56.980|2015-06-08 05:46:01.196|
17|MORELOS|2|ATLATLAHUCAN|14|1|B|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |698| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|14|1|C|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |697| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|15|1|B|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |660| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|15|1|C|0|1|14|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|-|-|-|-|-|Sin dato|Sin dato|Sin dato|0|660| |1| |ec30f00f51af544d79395d1cda7bd036d5bfaaa04a9a8ecf35d6a09422a55d0c|2015-06-08 05:09:00.000|2015-06-08 13:52:32.302|2015-06-08 14:04:17.208|
17|MORELOS|2|ATLATLAHUCAN|15|2|C|0|1|14|Sin dato|Sin dato|Sin dato|Ilegible|13|15|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|-|-|-|-|-|Ilegible|Ilegible|Ilegible|28|659| |1| |75f89b898f4f599c50a16c2ff7f01ff65a3c1ce7c52303b06043d08ca8d8a4f2|2015-06-08 05:10:00.000|2015-06-08 13:52:48.776|2015-06-08 14:04:32.426|
17|MORELOS|2|ATLATLAHUCAN|16|1|B|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |718| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|17|1|B|0|2|14|251|451|453|90|7|14|14|10|28|27|91|3|Sin dato|127|-|-|-|-|-|26|Sin dato|16|453|683| |1| |e874dbd0cb1ae2c05e4476165e1fbc7e43311443ff98668f3f9d07bcafd2d7e0|2015-06-08 02:36:00.000|2015-06-08 10:18:15.029|2015-06-08 10:18:17.119|
17|MORELOS|2|ATLATLAHUCAN|17|1|C|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |683| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|18|1|B|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |504| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|18|1|C|0|2|14|180|343|344|58|2|5|14|3|25|14|34|2|2|92|-|-|-|-|-|86|Sin dato|7|344|504| |1| |84afe7b06ab41b193f0fd1ac27576d8ce50b2963bdfd7c75f5db633b7d4476f7|2015-06-08 05:17:00.000|2015-06-08 06:42:29.899|2015-06-08 06:42:33.188|
17|MORELOS|2|ATLATLAHUCAN|19|1|B|0|2|14|312|346|345|94|9|10|25|5|27|15|47|14|2|71|-|-|-|-|-|14|0|12|345|636| |1| |31e56566aa15586f20870758f5a973c84dbbbc55d63b37cea41bc0c1ef185c75|2015-06-08 03:38:00.000|2015-06-08 04:52:45.900|2015-06-08 04:52:50.250|
17|MORELOS|2|ATLATLAHUCAN|19|1|C|0|2|14|305|346|353|96|8|6|20|3|32|15|53|10|2|86|-|-|-|-|-|14|1|7|353|635| |1| |3a37649c973f3085456f491aaef2bb41c67c65ca29953e2f0d677dcbede22c5b|2015-06-08 03:37:00.000|2015-06-08 04:52:25.736|2015-06-08 04:52:31.387|
17|MORELOS|2|ATLATLAHUCAN|19|2|C|0|2|14|311|340|345|108|8|4|14|3|31|17|45|10|1|85|-|-|-|-|-|12|0|7|345|635| |1| |58efe8ef099044db8ec9704a106221c2577e7629601587a2519dde58d3da0102|2015-06-08 03:00:00.000|2015-06-08 04:05:20.787|2015-06-08 04:05:25.878|
17|MORELOS|2|ATLATLAHUCAN|19|3|C|0|2|14|301|345|357|138|9|3|9|7|23|16|34|9|6|76|-|-|-|-|-|13|0|14|357|635| |1| |e245a4e9dff8ea21a90cbd513983d9a41f05c56a01138c3507cdf84c63a51bff|2015-06-08 02:59:00.000|2015-06-08 04:02:35.609|2015-06-08 04:02:40.668|
17|MORELOS|2|ATLATLAHUCAN|19|4|C|0|2|14|254|0|352|111|6|7|26|4|27|15|26|12|1|91|-|-|-|-|-|14|0|12|352|635| |1| |5b0dd35d2c82dec6d20ce05cac5f1031c5e8767b72a533f52d6d37e944d2dc79|2015-06-08 02:58:00.000|2015-06-08 04:01:50.598|2015-06-08 04:01:53.777|
17|MORELOS|2|ATLATLAHUCAN|20|1|B|0|1|14|264|177|190|50|18|3|0|24|4|3|1|31|2|23|-|-|-|-|-|11|1|19|190|432| |1| |a4382dfe9bd4c856fe833ac1c216e7a5de3e1817562a5548ac606291c06fee98|2015-06-08 04:50:00.000|2015-06-08 05:30:08.757|2015-06-08 05:30:10.191|
17|MORELOS|2|ATLATLAHUCAN|21|1|B|0|1|14|273|204|213|53|15|4|1|24|5|4|0|41|10|20|-|-|-|-|-|18|0|16|211|464| |1| |e20af96675ca9fb0d687cbb0c4e9047809cce310b2ea4e77ff7802c974415440|2015-06-08 01:55:00.000|2015-06-08 02:30:37.512|2015-06-08 02:30:42.661|
17|MORELOS|2|ATLATLAHUCAN|22|1|B|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-| | | | |584| | | | | | | |
17|MORELOS|2|ATLATLAHUCAN|23|1|B|0|1|14|178|148|162|31|16|3|1|Sin dato|21|14|3|19|2|20|-|-|-|-|-|12|0|16|158|318| |1| |c2910ab8584158c0bd7fa038fae5798efdb51c0cbadda1fec5fee0466a63e81e|2015-06-08 04:44:00.000|2015-06-08 05:24:15.083|2015-06-08 05:24:21.843|
17|MORELOS|3|AXOCHIAPAN|24|1|B|0|1|14|239|339|348|77|44|28|41|48|2|16|22|13|0|38|-|-|-|-|-|-|Sin dato|19|348|566| |1| |d4291db01624e90ae1e14588ca313305886808736980b85bbad6319a268b2cb2|2015-06-08 05:54:00.000|2015-06-08 06:32:58.380|2015-06-08 06:33:01.974|
17|MORELOS|3|AXOCHIAPAN|24|1|C|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |566| | | | | | | |
17|MORELOS|3|AXOCHIAPAN|24|2|C|0|1|14|222|364|365|78|42|16|59|71|2|6|23|9|4|32|-|-|-|-|-|-|Sin dato|23|365|566| |1| |75e9baddf37ad09b33a3e11aa82b67bcdf0a3393322e67b3af7463332151c1ca|2015-06-08 05:43:00.000|2015-06-08 06:00:38.293|2015-06-08 06:00:39.228|
17|MORELOS|3|AXOCHIAPAN|25|1|B|0|1|14|196|352|352|92|41|16|48|73|4|12|22|16|0|25|-|-|-|-|-|-|0|3|352|527| |1| |a413819bf2329ee88408f53c226100fbbfce34c976a6b979dee64960ed46f8b0|2015-06-08 01:30:00.000|2015-06-08 02:26:32.241|2015-06-08 02:26:35.641|
17|MORELOS|3|AXOCHIAPAN|25|1|C|0|1|14|194|350|354|63|62|28|40|87|1|25|7|16|0|17|-|-|-|-|-|-|Sin dato|8|354|527| |1| |be35f1b89cc930e2ab7769ba3074b63666f8eb4d5dbb2b1bba718931a93a5767|2015-06-08 01:27:00.000|2015-06-08 02:11:50.036|2015-06-08 02:23:33.544|
17|MORELOS|3|AXOCHIAPAN|26|1|B|0|1|14|226|423|423|77|54|27|43|108|2|12|17|29|0|42|-|-|-|-|-|-|0|12|423|628| |1| |ffb5a8a16071dc5c2fc811c9f21cf4b5000a53d7723c2a29ee8c9648248d3107|2015-06-08 06:19:00.000|2015-06-08 06:54:45.707|2015-06-08 06:54:47.556|
17|MORELOS|3|AXOCHIAPAN|26|1|C|0|1|14|250|398|399|69|54|26|53|73|4|7|36|17|0|47|-|-|-|-|-|-|Ilegible|13|399|628| |1| |18e995d2b5f2f28d1083236ff0266e2b8ab0c13f61851c632561d2a557f51d03|2015-06-08 03:29:00.000|2015-06-08 04:24:57.917|2015-06-08 04:25:00.988|
